Well,Sample Type,Target ID,Sample ID,Filter,Ct(CP),Ct(SDM),Cutoff(Ct),Qty(CP),Qty(SDM),Tm #1,Cutoff(Tm)
D6,UNKN,6,2,FAM,39.3,39.14,,--,--,77.61,
D7,UNKN,1,4,FAM,28.92,28.67,,--,--,75.25,
D8,UNKN,2,4,FAM,26.09,26.17,,--,--,73.76,
D9,UNKN,3,4,FAM,27.22,27.18,,--,--,77.06,
D10,UNKN,4,4,FAM,26.28,26.41,,--,--,80.12,
D11,UNKN,5,4,FAM,26.31,26.3,,--,--,77.69,
D12,UNKN,6,4,FAM,27.33,27.45,,--,--,78.39,
E1,UNKN,1,2,FAM,38,37.9,,--,--,75.35,
E2,UNKN,2,2,FAM,36.69,36.63,,--,--,73.63,
E3,UNKN,3,2,FAM,37.07,36.88,,--,--,76.82,
E4,UNKN,4,2,FAM,36.23,36.2,,--,--,79.88,
E5,UNKN,5,2,FAM,34.34,33.89,,--,--,77.18,
E6,UNKN,6,2,FAM,--,--,,--,--,62.57,
E7,UNKN,1,4,FAM,28.47,28.38,,--,--,75.33,
E8,UNKN,2,4,FAM,26.45,26.47,,--,--,73.81,
E9,UNKN,3,4,FAM,27.41,27.44,,--,--,77.18,
E10,UNKN,4,4,FAM,27.01,27,,--,--,80.21,
E11,UNKN,5,4,FAM,26.44,26.5,,--,--,77.78,
E12,UNKN,6,4,FAM,27.44,27.49,,--,--,78.39,
F1,UNKN,1,2,FAM,36.21,36.17,,--,--,75.28,
F2,UNKN,2,2,FAM,--,--,,--,--,74.68,
F3,UNKN,3,2,FAM,--,--,,--,--,62.45,
F4,UNKN,4,2,FAM,34.89,34.84,,--,--,79.71,
F5,UNKN,5,2,FAM,35.32,35.27,,--,--,77.2,
F6,UNKN,6,2,FAM,38.11,37.89,,--,--,77.44,
F7,UNKN,1,4,FAM,28.53,28.62,,--,--,75.33,
F8,UNKN,2,4,FAM,26.27,26.42,,--,--,73.8,
F9,UNKN,3,4,FAM,27.57,27.53,,--,--,77.16,
F10,UNKN,4,4,FAM,26.56,26.65,,--,--,80.13,
F11,UNKN,5,4,FAM,26.43,26.36,,--,--,77.61,
F12,UNKN,6,4,FAM,27.5,27.44,,--,--,78.37,
G1,NTC,1,5,FAM,--,--,,--,--,67.37,
G2,NTC,2,5,FAM,--,--,,--,--,74.78,
G3,NTC,3,5,FAM,--,--,,--,--,61.31,
G4,NTC,4,5,FAM,--,--,,--,--,74.99,
G5,NTC,5,5,FAM,36.46,36.32,,--,--,75.93,
G6,NTC,6,5,FAM,--,--,,--,--,62.72,
G7,,,,FAM,--,--,,--,--,--,
G8,,,,FAM,--,--,,--,--,--,
G9,,,,FAM,--,--,,--,--,--,
G10,,,,FAM,--,--,,--,--,--,
G11,,,,FAM,--,--,,--,--,--,
G12,,,,FAM,--,--,,--,--,--,
H1,,,,FAM,--,--,,--,--,--,
H2,,,,FAM,--,--,,--,--,--,
H3,,,,FAM,--,--,,--,--,--,
H4,,,,FAM,--,--,,--,--,--,
H5,,,,FAM,--,--,,--,--,--,
H6,,,,FAM,--,--,,--,--,--,
H7,,,,FAM,--,--,,--,--,--,
H8,,,,FAM,--,--,,--,--,--,
H9,,,,FAM,--,--,,--,--,--,
H10,,,,FAM,--,--,,--,--,--,
H11,,,,FAM,--,--,,--,--,--,
H12,,,,FAM,--,--,,--,--,--,
